UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);1,5
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;100
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;100
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;150
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;54
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;54
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;162
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,048442907
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;289
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;289
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;881
AP;Amapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,724444444
AP;Amapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;900
AP;Amapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;945
AP;Amapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;2452
AP;Macapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,858094556
AP;Macapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;13960
AP;Macapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;14497
AP;Macapá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;39899
BA;Barreiras;Quantidade Produzida;Q4;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,119476237
BA;Barreiras;Quantidade Produzida;Q4;2016;BRASIL;BRASIL;Soja;Área Colhida;1237200
BA;Barreiras;Quantidade Produzida;Q4;2016;BRASIL;BRASIL;Soja;Área Plantada;1237200
BA;Barreiras;Quantidade Produzida;Q4;2016;BRASIL;BRASIL;Soja;Qtde Produzida;2622216
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,673469388
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;2450
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;2450
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;9000
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,107218848
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Área Colhida;297028
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Área Plantada;297028
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Qtde Produzida;625903
GO+DF;Anápolis;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,864510527
GO+DF;Anápolis;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;23035
GO+DF;Anápolis;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;23035
GO+DF;Anápolis;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;65984
GO+DF;Anicuns;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,873596358
GO+DF;Anicuns;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;19770
GO+DF;Anicuns;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;19770
GO+DF;Anicuns;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;56811
GO+DF;Aragarças;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,964520548
GO+DF;Aragarças;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;73000
GO+DF;Aragarças;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;73000
GO+DF;Aragarças;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;216410
GO+DF;Brasília;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,300007055
GO+DF;Brasília;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;70875
GO+DF;Brasília;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;70875
GO+DF;Brasília;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;233888
GO+DF;Catalão;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,297617054
GO+DF;Catalão;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Área Colhida;262700
GO+DF;Catalão;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Área Plantada;262700
GO+DF;Catalão;Quantidade Produzida;Q2;2016;BRASIL;BRASIL;Soja;Qtde Produzida;866284
GO+DF;Ceres;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,705737235
GO+DF;Ceres;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;17430
GO+DF;Ceres;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;17430
GO+DF;Ceres;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;47161
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,873315836
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;45720
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;45720
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;131368
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,969975598
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2016;BRASIL;BRASIL;Soja;Área Colhida;512250
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2016;BRASIL;BRASIL;Soja;Área Plantada;512250
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2016;BRASIL;BRASIL;Soja;Qtde Produzida;1521370
GO+DF;Goiânia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,172346813
GO+DF;Goiânia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;28315
GO+DF;Goiânia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;28315
GO+DF;Goiânia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;89825
GO+DF;Iporá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,700044150
GO+DF;Iporá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Colhida;11325
GO+DF;Iporá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Área Plantada;11325
GO+DF;Iporá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Soja;Qtde Produzida;30578
GO+DF;Meia Ponte;Quantidade Produzida;Q3;2016;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,389803447
