UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;50
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;50
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;150
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,4
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;180
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;180
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;432
AM;Madeira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3
AM;Madeira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;200
AM;Madeira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;200
AM;Madeira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;600
BA;Barreiras;Quantidade Produzida;Q3;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,036
BA;Barreiras;Quantidade Produzida;Q3;2008;BRASIL;BRASIL;Soja;Área Colhida;755500
BA;Barreiras;Quantidade Produzida;Q3;2008;BRASIL;BRASIL;Soja;Área Plantada;755500
BA;Barreiras;Quantidade Produzida;Q3;2008;BRASIL;BRASIL;Soja;Qtde Produzida;2293698
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,035846724
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;1618
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;1618
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;4912
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,035997295
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2008;BRASIL;BRASIL;Soja;Área Colhida;147900
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2008;BRASIL;BRASIL;Soja;Área Plantada;147900
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2008;BRASIL;BRASIL;Soja;Qtde Produzida;449024
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,251953125
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;512
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;512
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;1665
GO+DF;Anápolis;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,752024922
GO+DF;Anápolis;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;6420
GO+DF;Anápolis;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;6420
GO+DF;Anápolis;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;17668
GO+DF;Anicuns;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,961389961
GO+DF;Anicuns;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Colhida;2590
GO+DF;Anicuns;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Área Plantada;2590
GO+DF;Anicuns;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Soja;Qtde Produzida;7670
