UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,3
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;100
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;100
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;330
AM;Madeira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3
AM;Madeira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;180
AM;Madeira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;180
AM;Madeira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;540
BA;Barreiras;Quantidade Produzida;Q4;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,060000235
BA;Barreiras;Quantidade Produzida;Q4;2010;BRASIL;BRASIL;Soja;Área Colhida;849530
BA;Barreiras;Quantidade Produzida;Q4;2010;BRASIL;BRASIL;Soja;Área Plantada;849530
BA;Barreiras;Quantidade Produzida;Q4;2010;BRASIL;BRASIL;Soja;Qtde Produzida;2599562
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,3
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;2300
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;2300
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;7590
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,057532342
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2010;BRASIL;BRASIL;Soja;Área Colhida;165420
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2010;BRASIL;BRASIL;Soja;Área Plantada;165420
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2010;BRASIL;BRASIL;Soja;Qtde Produzida;505777
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,35
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;1020
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;1020
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;3417
GO+DF;Anápolis;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,878265766
GO+DF;Anápolis;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;17760
GO+DF;Anápolis;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;17760
GO+DF;Anápolis;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;51118
GO+DF;Anicuns;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,959490741
GO+DF;Anicuns;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;4320
GO+DF;Anicuns;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;4320
GO+DF;Anicuns;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;12785
GO+DF;Aragarças;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,914956012
GO+DF;Aragarças;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;17050
GO+DF;Aragarças;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;17050
GO+DF;Aragarças;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;49700
GO+DF;Brasília;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,196003754
GO+DF;Brasília;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Colhida;55402
GO+DF;Brasília;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Área Plantada;55402
GO+DF;Brasília;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Soja;Qtde Produzida;177065
GO+DF;Catalão;Quantidade Produzida;Q2;2010;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,139791988
GO+DF;Catalão;Quantidade Produzida;Q2;2010;BRASIL;BRASIL;Soja;Área Colhida;181720
