UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,7375
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;400
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;400
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;1095
AP;Amapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,353870458
AP;Amapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;633
AP;Amapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;720
AP;Amapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;1490
AP;Macapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,587019484
AP;Macapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;15192
AP;Macapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;16500
AP;Macapá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;39302
BA;Barreiras;Quantidade Produzida;Q4;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,530462867
BA;Barreiras;Quantidade Produzida;Q4;2014;BRASIL;BRASIL;Soja;Área Colhida;1060455
BA;Barreiras;Quantidade Produzida;Q4;2014;BRASIL;BRASIL;Soja;Área Plantada;1060455
BA;Barreiras;Quantidade Produzida;Q4;2014;BRASIL;BRASIL;Soja;Qtde Produzida;2683442
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;2000
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;2000
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;6000
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,416494479
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Colhida;213914
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Plantada;213914
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Qtde Produzida;516922
GO+DF;Anápolis;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,818181818
GO+DF;Anápolis;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;23815
GO+DF;Anápolis;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;23815
GO+DF;Anápolis;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;67115
GO+DF;Anicuns;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,929347826
GO+DF;Anicuns;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;12880
GO+DF;Anicuns;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;12880
GO+DF;Anicuns;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;37730
GO+DF;Aragarças;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,163049759
GO+DF;Aragarças;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;62300
GO+DF;Aragarças;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;62300
GO+DF;Aragarças;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;197058
GO+DF;Brasília;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3
GO+DF;Brasília;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;72000
GO+DF;Brasília;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;72000
GO+DF;Brasília;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;216000
GO+DF;Catalão;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,206524414
GO+DF;Catalão;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Colhida;260100
GO+DF;Catalão;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Plantada;260100
GO+DF;Catalão;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Qtde Produzida;834017
GO+DF;Ceres;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,866930917
GO+DF;Ceres;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;17660
GO+DF;Ceres;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;17660
GO+DF;Ceres;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;50630
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,885093503
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;37004
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;37004
GO+DF;Chapada dos Veadeiros;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;106760
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,188249989
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2014;BRASIL;BRASIL;Soja;Área Colhida;458757
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2014;BRASIL;BRASIL;Soja;Área Plantada;458757
GO+DF;Entorno de Brasília;Quantidade Produzida;Q3;2014;BRASIL;BRASIL;Soja;Qtde Produzida;1462632
GO+DF;Goiânia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,957079482
GO+DF;Goiânia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;27050
GO+DF;Goiânia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;27050
GO+DF;Goiânia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;79989
GO+DF;Iporá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,819990201
GO+DF;Iporá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;10205
GO+DF;Iporá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;10205
GO+DF;Iporá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;28778
GO+DF;Meia Ponte;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,480386897
GO+DF;Meia Ponte;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Colhida;406310
GO+DF;Meia Ponte;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Plantada;406310
GO+DF;Meia Ponte;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Qtde Produzida;1007806
GO+DF;Pires do Rio;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,941707054
GO+DF;Pires do Rio;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Colhida;185700
GO+DF;Pires do Rio;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Área Plantada;185700
GO+DF;Pires do Rio;Quantidade Produzida;Q2;2014;BRASIL;BRASIL;Soja;Qtde Produzida;546275
GO+DF;Porangatu;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,945889189
GO+DF;Porangatu;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Colhida;91904
GO+DF;Porangatu;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Área Plantada;91904
GO+DF;Porangatu;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Soja;Qtde Produzida;270739
