UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,528137931
AC;Brasiléia;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;7250
AC;Brasiléia;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;7250
AC;Brasiléia;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;11079
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,904565030
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;5805
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;5805
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;5251
AC;Rio Branco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,838414863
AC;Rio Branco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;13349
AC;Rio Branco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;13349
AC;Rio Branco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;24541
AC;Sena Madureira;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,497520661
AC;Sena Madureira;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;3630
AC;Sena Madureira;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;3630
AC;Sena Madureira;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;5436
AC;Tarauacá;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,487128431
AC;Tarauacá;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;7031
AC;Tarauacá;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;7031
AC;Tarauacá;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;10456
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,348643411
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;5160
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;6400
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;1799
AL;Arapiraca;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,649710983
AL;Arapiraca;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;9515
AL;Arapiraca;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;9515
AL;Arapiraca;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;6182
AL;Batalha;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,465411765
AL;Batalha;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Colhida;8500
AL;Batalha;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Área Plantada;8500
AL;Batalha;Quantidade Produzida;Q1;2007;BRASIL;BRASIL;Milho;Qtde Produzida;3956
