UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,652244456
AC;Brasiléia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Colhida;7396
AC;Brasiléia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Plantada;7396
AC;Brasiléia;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Qtde Produzida;19616
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,854691076
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Colhida;3496
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Plantada;3640
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Qtde Produzida;6484
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,776542775
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Colhida;19883
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Plantada;22324
AC;Rio Branco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Qtde Produzida;55206
AC;Sena Madureira;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,398837632
AC;Sena Madureira;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Colhida;5506
AC;Sena Madureira;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Plantada;5733
AC;Sena Madureira;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Qtde Produzida;13208
AC;Tarauacá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,774576271
AC;Tarauacá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Colhida;5900
AC;Tarauacá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Plantada;6000
AC;Tarauacá;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Qtde Produzida;10470
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,121058559
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2014;BRASIL;BRASIL;Milho;Área Colhida;1776
