UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,855555556
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Colhida;3600
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Plantada;3600
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Qtde Produzida;6680
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,282023681
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Colhida;4645
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Plantada;4645
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Qtde Produzida;5955
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,823701758
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Colhida;9898
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Plantada;10218
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Qtde Produzida;27949
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,726302083
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Colhida;3840
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Plantada;3840
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Qtde Produzida;6629
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,8
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Colhida;5600
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Área Plantada;5600
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Milho;Qtde Produzida;10080
