UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,534692680
AC;Brasiléia;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Colhida;6817
AC;Brasiléia;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Plantada;7305
AC;Brasiléia;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Qtde Produzida;17279
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,476812367
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Colhida;3752
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Plantada;3752
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Qtde Produzida;5541
AC;Rio Branco;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,895960344
AC;Rio Branco;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Colhida;17551
AC;Rio Branco;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Plantada;20021
AC;Rio Branco;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Qtde Produzida;50827
AC;Sena Madureira;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,199438202
AC;Sena Madureira;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Colhida;3916
AC;Sena Madureira;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Plantada;4298
AC;Sena Madureira;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Qtde Produzida;8613
AC;Tarauacá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,924881890
AC;Tarauacá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Colhida;6350
AC;Tarauacá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Área Plantada;6500
AC;Tarauacá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Qtde Produzida;12223
AL;Arapiraca;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,704696133
