UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,5
AC;Brasiléia;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;8520
AC;Brasiléia;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;8520
AC;Brasiléia;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;12780
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,896031604
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;5569
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;5569
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;4990
AC;Rio Branco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,745316380
AC;Rio Branco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;13291
AC;Rio Branco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;13299
AC;Rio Branco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;23197
AC;Sena Madureira;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,497534247
AC;Sena Madureira;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;3650
AC;Sena Madureira;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;3650
AC;Sena Madureira;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;5466
AC;Tarauacá;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,489682424
AC;Tarauacá;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;6833
AC;Tarauacá;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;6833
AC;Tarauacá;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;10179
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,696551724
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;5800
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;5900
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;4040
AL;Arapiraca;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,696097046
AL;Arapiraca;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Colhida;9480
AL;Arapiraca;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Área Plantada;9480
AL;Arapiraca;Quantidade Produzida;Q1;2006;BRASIL;BRASIL;Milho;Qtde Produzida;6599
