UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,350894309
AC;Brasiléia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;6150
AC;Brasiléia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;6150
AC;Brasiléia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;14458
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,284010601
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;4528
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;4528
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;5814
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,791453105
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;15023
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;15023
AC;Rio Branco;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;41936
AC;Sena Madureira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,959030583
AC;Sena Madureira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;3466
AC;Sena Madureira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;3466
AC;Sena Madureira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;6790
AC;Tarauacá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,846398892
AC;Tarauacá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;7220
AC;Tarauacá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;7220
AC;Tarauacá;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;13331
AL;Arapiraca;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,638340717
AL;Arapiraca;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;2483
AL;Arapiraca;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;5380
AL;Arapiraca;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;1585
AL;Batalha;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,058091286
AL;Batalha;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;241
AL;Batalha;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;1665
AL;Batalha;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;14
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,730337079
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;178
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;178
AL;Mata Alagoana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;130
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,971062619
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;2108
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;5593
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;4155
AL;Penedo;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,435294118
AL;Penedo;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;510
AL;Penedo;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;580
AL;Penedo;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;222
AL;Santana do Ipanema;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,026315789
AL;Santana do Ipanema;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;456
AL;Santana do Ipanema;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;5023
AL;Santana do Ipanema;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;12
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,983526269
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;2246
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;2246
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;6701
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,625
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;64
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;64
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;40
AL;Traipu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,278688525
AL;Traipu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;183
AL;Traipu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;1190
AL;Traipu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;51
AM;Alto Solimões;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,569832402
AM;Alto Solimões;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;179
AM;Alto Solimões;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;193
AM;Alto Solimões;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;460
AM;Boca do Acre;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,4624
AM;Boca do Acre;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;625
AM;Boca do Acre;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;630
AM;Boca do Acre;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;1539
AM;Coari;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,4
AM;Coari;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Colhida;50
AM;Coari;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Área Plantada;50
AM;Coari;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Milho;Qtde Produzida;70
