UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,798076923
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;7800
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Plantada;7800
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Qtde Produzida;21825
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,726983596
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;5974
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Plantada;5974
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Qtde Produzida;10317
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);3,460176125
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;20440
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Plantada;20440
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Qtde Produzida;70726
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,133034380
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;5352
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Plantada;5352
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Qtde Produzida;11416
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,731756757
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;5920
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Plantada;5920
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Qtde Produzida;10252
AL;Arapiraca;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,710126582
AL;Arapiraca;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;3160
AL;Arapiraca;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Plantada;3320
AL;Arapiraca;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Qtde Produzida;2244
AL;Batalha;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,528222997
AL;Batalha;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Milho;Área Colhida;1435
