UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,5
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;8290
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;8290
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;12435
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,892870544
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;5330
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;5330
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;4759
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,695750306
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;15507
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;15507
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;26296
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,498272553
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;5210
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;5210
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;7806
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,489692308
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;6500
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;6500
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;9683
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,388363636
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;5500
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;5500
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;2136
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,655685131
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;10290
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;10600
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;6747
AL;Batalha;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,430567686
AL;Batalha;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;9160
AL;Batalha;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;9760
AL;Batalha;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;3944
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,619047619
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;105
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;105
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;65
AL;Mata Alagoana;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,522123894
AL;Mata Alagoana;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;565
AL;Mata Alagoana;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;565
AL;Mata Alagoana;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;295
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,479799666
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;11980
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;14495
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;5748
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,688622754
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;835
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;835
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;575
AL;Santana do Ipanema;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,419781818
AL;Santana do Ipanema;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;13750
AL;Santana do Ipanema;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;14350
AL;Santana do Ipanema;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;5772
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,429714286
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;875
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;875
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;376
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,406641791
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;13400
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;13400
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Qtde Produzida;5449
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,458305085
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Colhida;1475
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Milho;Área Plantada;1475
