UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,795336788
AC;Brasiléia;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;5790
AC;Brasiléia;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;5790
AC;Brasiléia;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;10395
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,526895307
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;5540
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;5690
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;8459
AC;Rio Branco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);3,006823863
AC;Rio Branco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;14801
AC;Rio Branco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;14801
AC;Rio Branco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;44504
AC;Sena Madureira;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,839223698
AC;Sena Madureira;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;4895
AC;Sena Madureira;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;4895
AC;Sena Madureira;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;9003
AC;Tarauacá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,666431095
AC;Tarauacá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;5660
AC;Tarauacá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;5660
AC;Tarauacá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;9432
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,352171638
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;1911
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;3460
AL;Alagoana do Sertão do São Francisco;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;673
AL;Arapiraca;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,988046272
AL;Arapiraca;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;7780
AL;Arapiraca;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;8010
AL;Arapiraca;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;7687
AL;Batalha;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,791064830
AL;Batalha;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;5954
AL;Batalha;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;6304
AL;Batalha;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;10664
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,705263158
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;95
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;95
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;67
AL;Mata Alagoana;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,712121212
AL;Mata Alagoana;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;264
AL;Mata Alagoana;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;264
AL;Mata Alagoana;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;188
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,799870801
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;7740
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;8560
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;6191
AL;Penedo;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,817805383
AL;Penedo;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;483
AL;Penedo;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;483
AL;Penedo;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;395
AL;Santana do Ipanema;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,458544304
AL;Santana do Ipanema;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;9480
AL;Santana do Ipanema;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;9900
AL;Santana do Ipanema;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;4347
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,883870968
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;310
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;310
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;274
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,345320715
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;4755
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;8848
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;1642
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,88
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;150
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;150
AL;Serrana dos Quilombos;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;132
AL;Traipu;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);0,626659292
AL;Traipu;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;1808
AL;Traipu;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;2768
AL;Traipu;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;1133
AM;Alto Solimões;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,499663753
AM;Alto Solimões;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;1487
AM;Alto Solimões;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;1487
AM;Alto Solimões;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;3717
AM;Boca do Acre;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,5
AM;Boca do Acre;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;1140
AM;Boca do Acre;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;1140
AM;Boca do Acre;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;2850
AM;Coari;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,5
AM;Coari;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;794
AM;Coari;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;794
AM;Coari;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;1985
AM;Itacoatiara;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,5
AM;Itacoatiara;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;1820
AM;Itacoatiara;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;1820
AM;Itacoatiara;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;4550
AM;Japurá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,5
AM;Japurá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Colhida;114
AM;Japurá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Área Plantada;114
AM;Japurá;Quantidade Produzida;Q1;2011;BRASIL;BRASIL;Milho;Qtde Produzida;285
