UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;58
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;58
AC;Brasiléia;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;2900
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;93
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;93
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;4650
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;374
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;2142
AC;Rio Branco;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;18700
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;70
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;70
AC;Sena Madureira;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3500
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;178
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;178
AC;Tarauacá;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;8900
AL;Arapiraca;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);59,612188841
AL;Arapiraca;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;11650
AL;Arapiraca;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;11650
AL;Arapiraca;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;694482
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);60,866678629
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;16719
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2009;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;16719
