UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);44,594594595
AC;Brasiléia;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;74
AC;Brasiléia;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;74
AC;Brasiléia;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3300
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;301
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;308
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;15050
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);56,637905605
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;1356
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;2119
AC;Rio Branco;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;76801
AC;Sena Madureira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50
AC;Sena Madureira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;70
AC;Sena Madureira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;70
AC;Sena Madureira;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3500
AC;Tarauacá;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);43,434343434
AC;Tarauacá;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;198
AC;Tarauacá;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;198
AC;Tarauacá;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;8600
AL;Arapiraca;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);54,337448560
AL;Arapiraca;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;12150
AL;Arapiraca;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;12150
AL;Arapiraca;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;660200
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);54,921107722
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2010;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;16719
