UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);45,333333333
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;75
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;75
AC;Brasiléia;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3400
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);40
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;166
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;171
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;6640
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);58,962882096
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;2290
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;2290
AC;Rio Branco;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;135025
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);40
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;96
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;96
AC;Sena Madureira;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3840
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);40
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;86
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;86
AC;Tarauacá;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3440
AL;Arapiraca;Quantidade Produzida;Q1;2013;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);62,090742101
