UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);45
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;60
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;60
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;2700
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);45
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;274
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;274
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;12330
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);50,634050881
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;511
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;2285
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;25874
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);40
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;62
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;62
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;2480
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);45
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;205
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;205
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;9225
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);64,978540773
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;11650
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;11650
AL;Arapiraca;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;757000
